Number of Units (Dense_1),Number of Units (Dense_2),Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation MRR,Validation Precision,Validation Recall,Validation Accuracy Adjusted
1024,512,0.0003,0.20044368505477905,0.9109886288642883,0.2051219493150711,0.9112344980239868,0.751384353000943,0.5905228758169935,0.589175089664167,0.9179294578706728
1024,512,0.0002,0.1997283548116684,0.9115192890167236,0.20762783288955688,0.9073481559753418,0.7546871274092046,0.597317631665031,0.5953700684708184,0.919268451992162
1024,512,0.0001,0.2048053741455078,0.9111233353614807,0.20297731459140778,0.9111038446426392,0.756389640550319,0.6000654022236757,0.5983045321160744,0.9198236446766819
1024,256,0.0003,0.20098552107810974,0.9118621945381165,0.21135900914669037,0.9092749953269958,0.7494029475495829,0.5911023879620543,0.589175089664167,0.9180274330502939
1024,256,0.0002,0.20004214346408844,0.9114866256713867,0.20472048223018646,0.90875244140625,0.7468774947383694,0.5840418574231524,0.5823280078252364,0.9166231221423906
1024,256,0.0001,0.20729723572731018,0.9100130796432495,0.20774726569652557,0.9100261330604553,0.752263667278363,0.5935251798561151,0.5917835017932833,0.9185173089483998
512,512,0.0003,0.2027101069688797,0.9112458229064941,0.2080584615468979,0.9082625508308411,0.7473608907965528,0.5871199738476627,0.5855885229866319,0.9172436316133247
512,512,0.0002,0.2044130265712738,0.9106008410453796,0.2054448425769806,0.9103527069091797,0.7508895524244968,0.592871157619359,0.5911313987610043,0.9183866753755715
512,512,0.0001,0.21221382915973663,0.9087190628051758,0.21056018769741058,0.9088830947875977,0.7462006106601137,0.5882930019620667,0.5865666775350505,0.917472240365774
512,256,0.0003,0.20419880747795105,0.9103600382804871,0.21864274144172668,0.9050294160842896,0.7487841228370282,0.592350441320693,0.5908053472448647,0.9182887001959503
512,256,0.0002,0.20443092286586761,0.9106171727180481,0.20458021759986877,0.9110058546066284,0.7493294661648675,0.5882930019620667,0.5865666775350505,0.917472240365774
512,256,0.0001,0.21465864777565002,0.9080291986465454,0.2125367373228073,0.907837986946106,0.7390038412491047,0.5752125572269458,0.5735246168894685,0.9148595689092097
